Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-07-2020,Arunachal Pradesh,12,Siang,679,121.31,0,121.31,0
01-11-2019,Gujarat,24,Devbhumi Dwarka,674,746.57,1752.37,669.43,1571.45
01-02-2018,Madhya Pradesh,23,Umaria,436,1378.29,1988.03,1261.46,1820.25
01-12-2017,Telangana,36,Sangareddy,691,5434.76,41.81,5070.22,4.03
01-09-2019,Haryana,6,Charki Dadri,701,0,959.69,0,928.36
01-11-2019,Jharkhand,20,Hazaribagh,332,6469.11,970.82,6469.72,959.74
01-07-2019,Telangana,36,Hyderabad,507,9093.9,0,7945.36,0
01-10-2019,Madhya Pradesh,23,Bhind,395,1067.21,4422.66,801.4,3321.75
01-06-2020,Karnataka,29,Bidar,529,6712.68,615.82,6098.09,537.57
01-08-2017,Gujarat,24,Bhavnagar,443,2.74,6.45,2.32,5.46
01-03-2019,Karnataka,29,Koppal,543,13934.44,0,5537.95,3.36
01-01-2018,Punjab,3,Moga,38,0,1693.32,0,0
01-03-2018,Himachal Pradesh,2,Mandi,22,1061,1510,801.27,407.56
01-07-2018,Delhi,7,North,80,586.96,2191.38,641.07,2455.82
01-07-2019,Tamil Nadu,33,Ramanathapuram,583,5008.75,139.84,4523.54,114.26
01-05-2018,West Bengal,19,Murshidabad,319,12798.18,18908.51,12793.51,18864.8
01-08-2018,Tamil Nadu,33,Tuticorin,594,5478.8,166.4,4360.22,144.38
01-08-2019,Meghalaya,17,West Garo Hills,278,831.37,0,831.37,0
01-11-2020,Telangana,36,Jagtial,681,3486.85,0,3369.07,0
01-06-2020,Meghalaya,17,West Garo Hills,278,831.37,0,831.37,0
01-10-2020,Maharashtra,27,Kolhapur,480,5104.16,8189.96,4924.22,7899.1
01-07-2020,Jharkhand,20,Chatra,323,4397.73,545.88,4329.93,542.53
01-09-2018,Jharkhand,20,Khunti,606,2430.5,296.31,2461.66,309.71
01-05-2020,Rajasthan,8,Sirohi,115,0,4046.46,0,4041.62
01-08-2018,Madhya Pradesh,23,Dhar,403,2231.41,9374.02,1769.39,7485.7
01-03-2018,Rajasthan,8,Rajsamand,112,0,4363,0,4031.93
01-01-2020,Bihar,10,Siwan,222,14891.94,9927.95,13545.5,9030.16
01-03-2020,Maharashtra,27,Mumbai Suburban,483,9051.35,13389.41,7681.62,11323.89
01-04-2020,Bihar,10,Samastipur,217,11774.63,7848.26,11755.62,7837.07
01-11-2021,West Bengal,19,Purulia,321,4563.21,6713.94,4352.24,6396.27
01-09-2021,Uttar Pradesh,9,Hardoi,150,7357.78,10742.35,6878.79,10042.13
01-09-2018,Haryana,6,Jind,65,0,2687.55,0,3137.19
01-01-2018,Jharkhand,20,Pakur,337,3622.08,545.18,3034.06,381.65
01-11-2021,Telangana,36,Ranga Reddy,518,7452.07,0,7499.29,0
01-06-2018,Mizoram,15,Serchhip,268,291.38,0,291.38,0
01-10-2020,Rajasthan,8,Ajmer,86,0,8310.76,0,8205.74
01-08-2019,Telangana,36,Jangoan,689,2088.13,0,1693.89,0
01-09-2021,Uttar Pradesh,9,Chandauli,135,3385.21,4946.57,60.06,4744.88
01-10-2017,Chhattisgarh,22,Gariyaband,645,3193.34,0,3066.01,0
01-02-2018,Andhra Pradesh,28,Guntur,506,14910.61,0,13495.42,0
01-08-2020,West Bengal,19,Medinipur East,317,7770.95,11538.21,7645.53,11187.21
01-07-2018,Maharashtra,27,Pune,490,11248.67,15823.11,7235.33,9960.53
01-12-2019,West Bengal,19,24 Paraganas South,304,12564.25,18628.24,12407.83,18470.74
01-10-2019,Telangana,36,Mulugu,720,1058.61,0,928.19,0
01-04-2018,Uttar Pradesh,9,Kannauj,155,2746.99,4046.91,2640.91,3887.75
01-12-2019,Madhya Pradesh,23,Dewas,402,1186.75,4995.64,994.73,4082.96
01-09-2018,Uttar Pradesh,9,Unnao,186,5270.76,7480.02,5060.61,7304.79
01-09-2018,Madhya Pradesh,23,Morena,417,1188.29,4873.94,1091.31,4488
01-12-2017,Andaman & Nicobar Islands,35,North & Middle Andaman,632,10.25,0,91.89,2.41
01-04-2018,Madhya Pradesh,23,Balaghat,392,6941.87,4785.06,4858.14,3349.57
01-01-2019,Jammu And Kashmir,1,Jammu,5,1570.41,6484.59,770.96,3135.39
01-01-2020,Tamil Nadu,33,Tirunelveli,592,9233.07,270.58,3546.3,131.47
01-09-2019,Punjab,3,Moga,38,0,15814.19,0,72.87
01-07-2019,Odisha,21,Jagatsinghpur,355,3215.59,1373.55,2808.44,1194.36
01-08-2018,Delhi,7,North East,81,1134.85,4438.22,1070.69,4190.15
01-12-2020,Bihar,10,Muzaffarpur,208,28316.88,18877.92,19538.95,13031.29
01-12-2017,Chhattisgarh,22,Surajpur,648,3771.48,0,3680.71,0
01-07-2019,Madhya Pradesh,23,East Nimar,405,1848.94,3382.32,377.68,660.22
01-03-2018,Uttar Pradesh,9,Baghpat,124,1687.75,2512.41,354.69,532.76
01-03-2018,Tamil Nadu,33,Nagapattinam,579,6782.19,137.01,6763.97,135.1
01-05-2018,Jammu And Kashmir,1,Doda,4,1666.08,1216.07,1193.29,679.33
01-06-2020,Uttar Pradesh,9,Kheri,159,7298.45,10672.95,7093.4,10370.51
01-04-2018,Chhattisgarh,22,Dantewada,376,1396.92,0,1275.03,0
01-04-2020,Uttar Pradesh,9,Jalaun,151,2513.07,3675.19,2273.15,3319.91
01-09-2020,Karnataka,29,Chikkamagaluru,532,4697.16,496.78,4584.43,436.9
01-01-2020,Madhya Pradesh,23,Balaghat,392,5365.27,3723.03,4658.96,3203.64
01-10-2019,Madhya Pradesh,23,Narsimhapur,418,1756.58,7154.37,870.43,3713.16
01-11-2018,Odisha,21,Jagatsinghpur,355,3218.6,1374.09,2835.79,1218.39
01-09-2019,Assam,18,Lakhimpur,295,4587.3,0,4587.3,0
01-04-2018,Uttar Pradesh,9,Gautam Buddha Nagar,144,1986.49,2959.99,1903.48,2835.47
01-12-2018,Arunachal Pradesh,12,Tawang,238,186.42,0,186.42,0
01-10-2019,Andhra Pradesh,28,Y.S.R.,504,0,0,0,0
01-12-2018,Maharashtra,27,Bhandara,471,8936.76,2038.31,4456.18,954.26
01-04-2018,Punjab,3,Amritsar,27,0,39136.44,0,5844.2
01-10-2018,Delhi,7,West,85,790.67,3029.96,776.69,2982.37
01-11-2021,Telangana,36,Vikarabad,698,3535.36,0,3188.6,0
01-01-2020,Bihar,10,Vaishali,224,18740.06,12493.37,10795,7196.67
01-12-2017,Gujarat,24,Dohad,445,3450.21,5520.46,5009.39,5009.39
01-11-2020,Haryana,6,Mahendragarh,69,0,1331.91,0,1207.95
01-07-2019,Odisha,21,Boudh,349,1945.95,141.28,1860.81,134.77
01-06-2020,Chhattisgarh,22,Bemetara,650,4031.72,0,3999.85,0
01-01-2020,Delhi,7,East,78,676.65,2691.65,677.05,2689.69
01-11-2021,Tamil Nadu,33,Krishnagiri,577,6115,654.92,5410.62,465.81
01-10-2020,Delhi,7,North East,81,1220.1,4747.91,1219.44,4745.65
01-05-2018,Jharkhand,20,Ranchi,339,9585.54,1067.17,9307.63,983.2
01-01-2018,Haryana,6,Karnal,67,0,2340.66,0,3172.25
01-11-2018,Madhya Pradesh,23,Singrauli,638,2518.89,4023.99,2343.12,3758.83
01-05-2019,Manipur,14,Tengnoupal,716,222.82,0,222.82,0
01-07-2018,West Bengal,19,Nadia,320,7802.38,11543.26,7766.74,11526.2
01-05-2018,Telangana,36,Nalgonda,514,5314.1,0,4196.45,0
01-08-2019,Sikkim,11,East District,225,849.77,0,849.77,0
01-12-2020,Karnataka,29,Kolar,542,6115.58,0,5969.68,0
01-08-2020,Chhattisgarh,22,Balod Bazar,644,6738.59,0,6664.85,0
01-06-2019,Chhattisgarh,22,Korba,383,4710.14,0,4669.13,0
01-11-2021,Karnataka,29,Mysuru,545,4430.02,0,4262.78,0
01-09-2020,Jharkhand,20,Jamtara,333,3349.84,430.26,3284.14,423.64
01-09-2018,Manipur,14,Thoubal,259,2040.8,0,2040.8,0
01-07-2019,Jammu And Kashmir,1,Pulwama,11,1906.99,0,1555.89,0
01-09-2018,Himachal Pradesh,2,Kangra,18,1649,2319,1685.87,2386.34
01-04-2019,Madhya Pradesh,23,Panna,420,912.09,3879.25,903.93,3861.01
01-08-2020,Arunachal Pradesh,12,Lower Dibang Valley,235,135.12,0,0,0
01-04-2018,Odisha,21,Anugul,344,4365.87,912.18,4320.6,901.6
01-10-2018,Uttarakhand,5,Chamoli,47,749.99,459.84,802.48,562.1
01-06-2018,Gujarat,24,Morbi,673,1012.27,2375.02,842.58,1977.73
01-06-2018,Maharashtra,27,Bhandara,471,43221.43,18444.9,23004.58,4746.2
01-07-2019,Jharkhand,20,Jamtara,333,3306.58,390.33,3329.04,391.71
01-07-2019,Madhya Pradesh,23,Dewas,402,1094.47,4599.91,85.63,361.04
01-12-2020,Bihar,10,Sheikhpura,219,3271.24,2180.83,2488.77,1659.27
01-03-2019,Bihar,10,Saharsa,216,5345.24,3562.92,5345.24,3562.89
01-10-2018,Uttarakhand,5,Pithoragarh,53,1053.02,645.56,902,535.86
01-08-2018,Mizoram,15,Kolasib,263,293.81,0,293.81,0
01-11-2017,Maharashtra,27,Nashik,487,9241.02,13861.53,92.46,85.39
01-08-2020,Chhattisgarh,22,Raipur,387,6832.38,0,6759.19,0
01-11-2018,Tripura,16,Sepahijala,653,3335.29,0,1814.05,0
01-10-2019,Maharashtra,27,Ahmadnagar,466,10736.53,18111.29,5366.9,9054.69
01-08-2018,Uttar Pradesh,9,Etah,138,2763.49,4077.33,2695.51,3975.36
01-02-2019,Uttar Pradesh,9,Sant Kabeer Nagar,178,2754.56,3998.24,2614.68,3792.69
01-11-2020,Bihar,10,Siwan,222,8419.05,5612.7,7560.36,5039.78
01-08-2019,Madhya Pradesh,23,Barwani,393,461.21,1967.72,64.16,250.22
01-12-2018,Madhya Pradesh,23,Barwani,393,1689.05,7124.15,1490.6,6300.95
01-12-2019,Andhra Pradesh,28,Prakasam,517,10798.04,0,10117.33,0
01-10-2018,Uttar Pradesh,9,Saharanpur,177,5463.39,8058.54,5065.09,7461.05
01-07-2019,Bihar,10,Kishanganj,203,5009.45,3339.64,4768.53,3179.02
01-02-2019,Telangana,36,Nagarkurnool,694,2852.86,0,2263.37,0
01-09-2018,Jharkhand,20,Bokaro,322,5803.38,622.01,6422.52,645.71
01-09-2020,Uttar Pradesh,9,Gorakhpur,148,7447.91,10855.89,7137.92,10396.22
01-10-2021,Tamil Nadu,33,Dharmapuri,571,5634,621,4867.66,460.32
01-04-2020,Gujarat,24,Navsari,453,1482.89,3537.26,1453.42,3465.14
01-03-2018,Tamil Nadu,33,Tiruppur,634,3606.88,232.23,3609.17,232.16
01-04-2018,Bihar,10,Arwal,611,1730.51,1153.67,1673.12,1115.41
01-04-2020,Odisha,21,Rayagada,370,4933.31,42.14,4694.07,38.66
01-10-2018,Kerala,32,Malappuram,562,7978.78,1744.22,8808.42,2055.75
01-06-2018,Madhya Pradesh,23,Mandla,415,5042.05,3480.72,3569.65,2490.37
01-04-2019,Madhya Pradesh,23,Vidisha,437,1189.56,3848.91,1065.97,3457.4
01-11-2020,Andaman & Nicobar Islands,35,Nicobars,603,24.44,0,65.09,0
01-10-2021,Madhya Pradesh,23,Chhatarpur,398,1221.75,5237.65,1113.72,4773.13
01-11-2020,Bihar,10,Khagaria,202,5454.07,3636.04,4712.27,3141.5
01-10-2019,Karnataka,29,Ramanagara,631,9745.46,0,4334.64,0
01-07-2018,Karnataka,29,Mysuru,545,11046.26,0,10177.4,0
01-01-2019,Madhya Pradesh,23,Singrauli,638,2553.71,4076.19,2349.2,3769.04
01-05-2019,Madhya Pradesh,23,Barwani,393,1509.85,4989.41,1400.42,4663.42
01-08-2018,Jharkhand,20,Dhanbad,325,7860.41,1433.48,8000.21,1332.6
01-02-2019,Mizoram,15,Champhai,262,501.23,0,501.23,0
01-12-2020,Arunachal Pradesh,12,Kurung Kumey,233,158.09,0,158.09,0
01-01-2020,Uttar Pradesh,9,Amethi,640,3361.84,4866.81,3193.59,4617.1
01-01-2018,Punjab,3,Fatehgarh Sahib,30,0,8968.41,0,3.9
01-11-2018,Uttarakhand,5,Udam Singh Nagar,56,6503.16,4140.92,3187.18,1952.39
01-01-2020,Madhya Pradesh,23,Mandla,415,3886.22,2833.01,3225.86,2373.66
01-09-2018,Gujarat,24,Jamnagar,447,1173.21,2753.42,1012.39,2378.16
01-07-2020,Assam,18,Marigaon,296,4282.43,149,4282.43,149
01-04-2020,Madhya Pradesh,23,Chhindwara,399,2334.77,9967.38,1593.49,6808.16
01-12-2019,Jammu And Kashmir,1,Bandipore,623,1273.74,0,1443.61,51.17
01-12-2020,Manipur,14,Chandel,253,993.22,0,491.71,0
01-04-2020,Jharkhand,20,Giridih,329,9239.32,1282.5,9557.18,1348.6
01-10-2018,Madhya Pradesh,23,Ratlam,423,1151.91,4787.13,1024.32,4317.03
01-02-2019,Jammu And Kashmir,1,Shopian,625,919.06,0,800.76,0
01-01-2020,Nagaland,13,Tuensang,249,792.16,0,794.4,0
01-10-2020,West Bengal,19,Birbhum,307,6368.27,9255.79,6322.45,9148.9
01-04-2020,Maharashtra,27,Hingoli,477,1766.13,2799.01,1654.28,2624.15
01-09-2020,Uttar Pradesh,9,Ghazipur,146,6041.92,8914.04,5825.26,8591.54
01-12-2020,Andhra Pradesh,28,East Godavari,505,16195.05,0,12488.19,0
01-11-2018,Tamil Nadu,33,Perambalur,581,2284.98,103.11,2088.68,89.69
01-05-2019,Tamil Nadu,33,Karur,576,3068.9,95.55,2589.76,87.84
01-12-2019,Delhi,7,New Delhi,79,344.42,1330.22,341.82,1323.54
01-11-2020,Odisha,21,Dhenkanal,352,4581.08,819.41,4563.4,801.31
01-06-2018,Assam,18,Nagaon,297,11989.11,590,11960.99,590
01-08-2020,Madhya Pradesh,23,Ashoknagar,391,617.83,2923.17,1059.52,2416.4
01-09-2019,Gujarat,24,Mahesana,451,1960.96,4597.48,1805.63,4234.98
01-12-2019,Rajasthan,8,Udaipur,117,0,12679.71,0,11894.74
01-10-2017,Jharkhand,20,Chatra,323,0,544.54,0,281.92
01-10-2021,Uttar Pradesh,9,Jalaun,151,2666.56,3905.43,2477.43,3627.06
01-08-2017,Haryana,6,Yamunanagar,76,0,0.35,0,1.61
01-03-2018,Rajasthan,8,Jhalawar,105,0,5565,0,4915.68
01-03-2019,Gujarat,24,Patan,455,1513.79,3570.38,1454.03,3429.77
01-11-2021,Madhya Pradesh,23,Mandla,415,3156.19,2306.08,2981.06,2172
01-01-2019,Gujarat,24,Narmada,452,762.51,1822.59,738.91,1766.48
01-12-2017,Telangana,36,Warangal_Rural,522,3154.22,9.49,2810.4,0
01-04-2019,Uttarakhand,5,Dehradun,49,6473.42,4121.21,3491.91,2118.08
01-11-2020,West Bengal,19,Paschim Bardhaman,704,2750.85,4055.57,2706.65,3987.56
01-08-2017,Karnataka,29,Dakshina Kannada,534,6.14,0,4.85,0
01-06-2018,Haryana,6,Fatehabad,61,0,2170.77,0,2202.81
